,score,labe
0,800.07958984375,0
1,838.7847290039062,0
2,842.271240234375,0
3,839.99462890625,0
4,828.45068359375,0
5,821.9022216796875,0
6,985.0928955078125,0
7,816.19287109375,0
8,830.1029052734375,0
9,809.20458984375,0
10,859.5751953125,0
11,803.8551635742188,0
12,856.3072509765625,0
13,854.5631103515625,0
14,820.1325073242188,0
15,861.5576782226562,0
16,807.8511962890625,0
17,847.3486328125,0
18,947.7232666015625,0
19,798.1373901367188,0
20,847.738525390625,0
21,834.03515625,0
22,827.7259521484375,0
23,815.7098999023438,0
24,798.3348388671875,0
25,860.80615234375,0
26,847.7283935546875,0
27,851.4108276367188,0
28,852.614501953125,0
29,839.2404174804688,0
30,867.3779296875,0
31,837.9141235351562,0
32,839.5068359375,0
33,927.7742919921875,0
34,831.067626953125,0
35,823.4697265625,0
36,838.1329345703125,0
37,834.859130859375,0
38,830.7923583984375,0
39,832.65771484375,0
40,830.576171875,0
41,831.8671875,0
42,852.885498046875,0
43,843.3366088867188,0
44,828.4908447265625,0
45,795.7879638671875,0
46,860.8897705078125,0
47,821.9312744140625,0
48,851.5110473632812,0
49,824.5546875,0
50,866.08837890625,0
51,951.9898681640625,0
52,1059.53515625,0
53,947.078369140625,0
54,835.703857421875,0
55,847.99169921875,0
56,810.701904296875,0
57,808.0277709960938,0
58,833.8529663085938,0
59,823.2618408203125,0
60,825.6173095703125,0
61,818.2305908203125,0
62,849.9380493164062,0
63,834.9083251953125,0
64,840.6907958984375,0
65,840.3082885742188,0
66,980.2717895507812,0
67,844.4156494140625,0
68,938.1231689453125,0
69,842.5167236328125,0
70,850.19189453125,0
71,820.9744873046875,0
72,845.4649658203125,0
73,858.1170654296875,0
74,802.3524169921875,0
75,899.519287109375,0
76,800.2587890625,0
77,815.254150390625,0
78,818.1361083984375,0
79,818.107421875,0
80,837.7147827148438,0
81,888.18212890625,0
82,854.3846435546875,0
83,846.9659423828125,0
84,850.4134521484375,0
85,815.255859375,0
86,814.5926513671875,0
87,818.0267333984375,0
88,844.7620849609375,0
89,847.6721801757812,0
90,829.166015625,0
91,829.2564697265625,0
92,827.7913818359375,0
93,813.5812377929688,0
94,823.1573486328125,0
95,868.2476196289062,0
96,818.1114501953125,0
97,824.5966186523438,0
98,824.1444702148438,0
99,835.61279296875,0
100,811.5732421875,0
101,839.4964599609375,0
102,828.7806396484375,0
103,812.0418701171875,0
104,831.806884765625,0
105,842.2053833007812,0
106,849.576904296875,0
107,860.898681640625,0
108,851.5472412109375,0
109,811.36083984375,0
110,870.9697265625,0
111,842.7772216796875,0
112,828.3675537109375,0
113,833.5325927734375,0
114,841.216064453125,0
115,827.327880859375,0
116,847.7232666015625,0
117,819.777099609375,0
118,807.232421875,0
119,856.4642333984375,0
120,848.3134765625,0
121,830.7537841796875,0
122,850.26611328125,0
123,815.4171142578125,0
124,806.1488037109375,0
125,807.7572021484375,0
126,815.865478515625,0
127,939.0684204101562,0
128,838.9034423828125,0
129,865.9884643554688,0
130,819.2962646484375,0
131,866.71630859375,0
132,811.858642578125,0
133,896.948974609375,0
134,813.6740112304688,0
135,814.572021484375,0
136,955.6934204101562,0
137,853.8646240234375,0
138,828.4993896484375,0
139,822.515869140625,0
140,810.18359375,0
141,823.9635009765625,0
142,968.11376953125,0
143,827.3441772460938,0
144,841.778564453125,0
145,838.48388671875,0
146,895.3740234375,0
147,841.94189453125,0
148,902.5904541015625,0
149,834.2708740234375,0
150,909.5899658203125,0
151,956.3175048828125,0
152,916.0400390625,0
153,840.1884765625,0
154,878.2674560546875,0
155,840.893798828125,0
156,810.20947265625,0
157,807.1784057617188,0
158,849.9999389648438,0
159,826.7413940429688,0
160,839.410888671875,0
161,797.9638671875,0
162,835.1116943359375,0
163,903.2866821289062,0
164,807.6915283203125,0
165,803.2579345703125,0
166,853.624755859375,0
167,914.2211303710938,0
168,811.1009521484375,0
169,831.5104370117188,0
170,812.828369140625,0
171,836.445068359375,0
