,score,labe
0,3527.0908203125,0
1,3621.064453125,0
2,3625.732421875,0
3,5360.48779296875,0
4,3437.2822265625,0
5,3330.23828125,0
6,3940.68798828125,0
7,3457.373046875,0
8,3520.463134765625,0
9,3598.357421875,0
10,3469.322265625,0
11,3425.07568359375,0
12,3578.6337890625,0
13,3571.818359375,0
14,3422.2236328125,0
15,4555.21533203125,0
16,3480.355712890625,0
17,3432.56787109375,0
18,3420.47900390625,0
19,3317.87060546875,0
20,3520.54638671875,0
21,3514.23388671875,0
22,3515.478515625,0
23,3677.18115234375,0
24,3475.712890625,0
25,3484.23095703125,0
26,3707.617431640625,0
27,3562.92626953125,0
28,3486.98681640625,0
29,3494.232421875,0
30,3742.556640625,0
31,3591.29638671875,0
32,3428.994140625,0
33,3440.3037109375,0
34,3427.299072265625,0
35,3427.55126953125,0
36,3579.15283203125,0
37,4758.3681640625,0
38,3590.74462890625,0
39,3526.7646484375,0
40,3374.61083984375,0
41,3356.978515625,0
42,3481.6982421875,0
43,3525.13037109375,0
44,3469.974853515625,0
45,3577.51513671875,0
46,3588.005126953125,0
47,3452.39990234375,0
48,3580.029296875,0
49,3555.50146484375,0
50,3467.95263671875,0
51,3568.8935546875,0
52,3414.6943359375,0
53,3430.3984375,0
54,3511.78466796875,0
55,3337.52001953125,0
56,3631.64697265625,0
57,3407.96630859375,0
58,3637.7421875,0
59,3812.892578125,0
60,3738.24951171875,0
61,3495.17529296875,0
62,3450.5986328125,0
63,3492.04345703125,0
64,3479.84716796875,0
65,3501.231201171875,0
66,3552.920654296875,0
67,3495.71923828125,0
68,3570.41552734375,0
69,3565.45458984375,0
70,3526.60693359375,0
71,3550.1162109375,0
72,3437.443359375,0
73,3814.578125,0
74,3394.258056640625,0
75,3822.806640625,0
76,4429.7099609375,0
77,3454.66650390625,0
78,3626.62109375,0
79,3537.6591796875,0
80,3583.0,0
81,3390.9599609375,0
82,3424.77587890625,0
83,3380.920654296875,0
84,3620.811767578125,0
85,3438.32275390625,0
86,3454.922119140625,0
87,3402.44140625,0
88,3425.955810546875,0
89,3362.9814453125,0
90,3764.5869140625,0
91,3605.10009765625,0
92,3481.1337890625,0
93,3467.55029296875,0
94,3613.83154296875,0
95,3374.324951171875,0
96,3548.98046875,0
97,3318.76806640625,0
98,3396.645263671875,0
99,3473.718017578125,0
100,3331.9853515625,0
101,3488.67919921875,0
102,3881.5224609375,0
103,3512.599609375,0
104,3406.83740234375,0
105,3461.20068359375,0
106,3395.0712890625,0
107,3466.65283203125,0
108,4458.3779296875,0
109,3536.10986328125,0
110,3960.84521484375,0
111,3429.0927734375,0
112,3474.48779296875,0
113,3414.7890625,0
114,3569.267578125,0
115,3455.3125,0
116,3511.9912109375,0
117,3468.15478515625,0
118,3561.95361328125,0
119,3876.5615234375,0
120,3602.61083984375,0
121,3480.12890625,0
122,3318.938232421875,0
123,3805.199951171875,0
124,3654.685546875,0
125,3443.57763671875,0
126,3323.09130859375,0
127,3563.107421875,0
128,3537.938720703125,0
129,3340.30224609375,0
130,3465.06982421875,0
131,3563.3681640625,0
132,3952.23974609375,0
133,3341.632080078125,0
134,3621.39208984375,0
135,3515.73876953125,0
136,3460.96533203125,0
137,3574.881103515625,0
138,3640.13623046875,0
139,3521.33837890625,0
140,3412.1240234375,0
141,3323.7431640625,0
142,3909.49609375,0
143,3427.69775390625,0
144,3380.1767578125,0
145,3627.398681640625,0
146,3416.72705078125,0
147,3461.004638671875,0
148,3677.2822265625,0
149,3515.06005859375,0
150,3330.357421875,0
151,3589.34326171875,0
152,3534.291015625,0
153,3862.720703125,0
154,3550.204345703125,0
155,3391.86279296875,0
156,3404.55859375,0
157,3439.22509765625,0
158,3320.945068359375,0
159,3614.3134765625,0
160,3665.1015625,0
161,3879.33154296875,0
162,3461.5478515625,0
163,3472.195556640625,0
164,3482.00244140625,0
165,3518.25,0
166,4276.06494140625,0
167,4574.7138671875,0
168,3575.037109375,0
169,3676.10302734375,0
170,3513.72021484375,0
171,3507.1181640625,0
